T	E	M
0.04	-1.98000714	0.96973650
0.08	-1.95966689	0.93648374
0.12	-1.93914041	0.90987864
0.16	-1.91838077	0.88163412
0.14	-1.92881606	0.89415369
0.32	-1.83275549	0.75827988
0.33	-1.82713785	0.75546646
0.39	-1.79350505	0.69152180
0.47	-1.74732393	0.64866672
0.01	-1.99506897	0.99286602
0.43	-1.77074229	0.68061240
0.34	-1.82157347	0.73888768
0.55	-1.69934758	0.59212328
0.35	-1.81605277	0.73236685
0.63	-1.64861984	0.54827759
1.26	-0.98066412	0.00232554
0.17	-1.91318400	0.86173384
0.15	-1.92357118	0.88167062
0.09	-1.95456894	0.93177531
0.05	-1.97493561	0.96402442
0.13	-1.93401480	0.90453848
0.06	-1.96986393	0.95203396
0.02	-1.99004498	0.98552683
0.10	-1.94946802	0.91846382
0.36	-1.81039150	0.71304975
0.59	-1.67434062	0.54706263
0.48	-1.74160822	0.65658897
0.44	-1.76486150	0.66352220
0.40	-1.78790826	0.68581440
0.56	-1.69312387	0.59519968
0.64	-1.64202725	0.52410078
1.27	-0.97000176	0.00225064
0.18	-1.90793116	0.86653255
0.03	-1.98502090	0.97748149
0.07	-1.96477574	0.94826466
0.11	-1.94434943	0.90921611
0.62	-1.65506326	0.53300117
0.61	-1.66154401	0.54542383
0.37	-1.80478165	0.71829917
0.94	-1.39636654	0.24987131
0.49	-1.73553948	0.61835089
0.45	-1.75915924	0.65919552
0.41	-1.78213458	0.68717791
0.60	-1.66815512	0.58375429
0.57	-1.68702026	0.58572007
0.65	-1.63535661	0.51985781
1.88	-0.58916487	0.00044507
1.28	-0.95965280	0.00192043
0.19	-1.90266477	0.86262080
0.38	-1.79931996	0.72076535
0.24	-1.87605835	0.80846292
0.28	-1.85454391	0.79147796
0.42	-1.77652845	0.68950418
0.50	-1.72972269	0.60869490
0.46	-1.75329534	0.65886995
0.95	-1.38534668	0.23161917
2.19	-0.49287546	0.00032074
0.58	-1.68062505	0.57494212
2.03	-0.53815652	0.00036777
0.66	-1.62868898	0.51833978
2.11	-0.51432868	0.00033788
1.57	-0.73530197	0.00073132
1.89	-0.58546596	0.00043920
1.29	-0.95011524	0.00189907
0.20	-1.89740373	0.84295520
0.25	-1.87079694	0.80711798
0.29	-1.84913031	0.77053770
1.10	-1.17592021	0.01105792
0.51	-1.72369654	0.61833190
0.78	-1.54287430	0.42679932
0.96	-1.37324481	0.21977703
1.41	-0.84431420	0.00114288
0.67	-1.62203852	0.49100444
1.49	-0.78581935	0.00087504
2.20	-0.49022805	0.00031085
2.04	-0.53494802	0.00036708
2.12	-0.51157274	0.00033758
1.58	-0.72931750	0.00071841
1.90	-0.58196004	0.00042735
1.30	-0.94025455	0.00182609
0.21	-1.89212964	0.84117959
0.26	-1.86536383	0.80237555
0.30	-1.84365333	0.78034467
0.52	-1.71745582	0.60682474
1.11	-1.16180787	0.00906335
0.79	-1.53515889	0.41685953
0.97	-1.36143349	0.20104131
0.68	-1.61519784	0.49081052
1.42	-0.83667537	0.00112201
1.50	-0.77938222	0.00085560
2.21	-0.48764048	0.00031923
2.05	-0.53200135	0.00036802
2.13	-0.50894142	0.00033711
1.59	-0.72354435	0.00071431
1.91	-0.57822133	0.00041955
1.31	-0.93089290	0.00180502
0.22	-1.88676827	0.83884127
0.27	-1.85988814	0.79233122
0.31	-1.83812374	0.75748213
0.53	-1.71165999	0.61795153
1.12	-1.14884408	0.00769807
0.80	-1.52702724	0.40273549
0.69	-1.60828578	0.46735352
0.98	-1.34803470	0.17210196
1.43	-0.82884856	0.00108796
1.51	-0.77268151	0.00084732
2.22	-0.48514698	0.00030943
2.06	-0.52910222	0.00035566
1.60	-0.71782046	0.00066872
2.14	-0.50601517	0.00033596
1.92	-0.57445435	0.00041315
0.23	-1.88141121	0.82302593
1.32	-0.92169980	0.00170526
0.54	-1.70549365	0.60143895
1.45	-0.81401657	0.00096554
1.47	-0.79987728	0.00097778
0.81	-1.51881775	0.41637603
0.70	-1.60118370	0.47467274
1.13	-1.13509742	0.00647038
0.99	-1.33409190	0.13757807
1.44	-0.82132102	0.00103401
1.52	-0.76628823	0.00083001
